volume,slice,band_pos,rel_pos,ratio,method,psnr,ssim
3011.npy,49,20,0.513,0.3,zerofill,19.075785334711572,0.6477058782257162
3011.npy,49,20,0.513,0.3,cs,27.85131831100876,0.9334962017417707
3011.npy,49,20,0.513,0.3,ddnm,31.6193872441969,0.9408760309876116
3013.npy,49,20,0.513,0.3,zerofill,13.237087078875206,0.5049289392488183
3013.npy,49,20,0.513,0.3,cs,14.344421861950531,0.7317587630897268
3013.npy,49,20,0.513,0.3,ddnm,16.928811944806686,0.7715245218035479
3151.npy,49,20,0.513,0.3,zerofill,16.854863290014865,0.5117696813630119
3151.npy,49,20,0.513,0.3,cs,27.26432233891962,0.8657651082856606
3151.npy,49,20,0.513,0.3,ddnm,29.637007149734906,0.8909585839330157
3161.npy,49,20,0.513,0.3,zerofill,20.465742702290385,0.5968928778424454
3161.npy,49,20,0.513,0.3,cs,28.20127512287449,0.9042791567124112
3161.npy,49,20,0.513,0.3,ddnm,28.87599211433765,0.9215563373763822
3171.npy,49,20,0.513,0.3,zerofill,12.361767736741761,0.4081012240006324
3171.npy,49,20,0.513,0.3,cs,13.100568164139094,0.5885792759529238
3171.npy,49,20,0.513,0.3,ddnm,26.587877204898767,0.7878090520177885
