volume,slice,band_pos,rel_pos,ratio,method,psnr,ssim
3011.npy,49,20,0.513,0.3,zerofill,19.075785334711572,0.6477058782257162
3011.npy,49,20,0.513,0.3,cs,27.85131831100876,0.9334962017417707
3011.npy,49,20,0.513,0.3,ddnm,31.607360073740853,0.940412396080021
3013.npy,49,20,0.513,0.3,zerofill,13.237087078875206,0.5049289392488183
3013.npy,49,20,0.513,0.3,cs,14.344421861950531,0.7317587630897268
3013.npy,49,20,0.513,0.3,ddnm,17.24187073478205,0.7744355419570832
3151.npy,49,20,0.513,0.3,zerofill,16.854863290014865,0.5117696813630119
3151.npy,49,20,0.513,0.3,cs,27.26432233891962,0.8657651082856606
3151.npy,49,20,0.513,0.3,ddnm,29.55373483054283,0.886985774360471
3161.npy,49,20,0.513,0.3,zerofill,20.465742702290385,0.5968928778424454
3161.npy,49,20,0.513,0.3,cs,28.20127512287449,0.9042791567124112
3161.npy,49,20,0.513,0.3,ddnm,28.851389764699967,0.9212890609225833
3171.npy,49,20,0.513,0.3,zerofill,12.361767736741761,0.4081012240006324
3171.npy,49,20,0.513,0.3,cs,13.100568164139094,0.5885792759529238
3171.npy,49,20,0.513,0.3,ddnm,26.62816849843368,0.785259462325856
